sku,pick_frequency,total_quantity_ea,active_days,cumulative_frequency_share,velocity_class,req_max_item_length,req_max_item_width,req_max_item_height,req_max_item_weight,physical_data_status,physical_storage_class
118483,55,73.0,44,0.995741,C,,,,,MISSING,UNVERIFIED_OVERSIZE
132607,55,250.0,25,0.995797,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107435,54,251.0,43,0.995851,C,5.1,6.6,13.5,60.0,COMPLETE,STANDARD
110295,54,7400.0,21,0.995906,C,21.5,12.5,12.0,,MISSING,UNVERIFIED_OVERSIZE
110491,54,1000.0,25,0.995961,C,9.5,7.5,10.0,,MISSING,UNVERIFIED_OVERSIZE
115997,54,750.0,41,0.996016,C,10.0,5.0,4.5,,MISSING,UNVERIFIED_OVERSIZE
117402,54,249.0,41,0.996071,C,3.2,11.4,5.0,25.0,COMPLETE,STANDARD
124233,54,9800.0,19,0.996126,C,4.4,4.4,7.6,,MISSING,UNVERIFIED_OVERSIZE
110407,53,3300.0,10,0.99618,C,15.0,12.3,8.0,,MISSING,UNVERIFIED_OVERSIZE
112023,53,610.0,24,0.996234,C,9.1,4.5,7.0,,MISSING,UNVERIFIED_OVERSIZE
134484,53,544.0,24,0.996288,C,,,,,MISSING,UNVERIFIED_OVERSIZE
117002,52,186.0,17,0.996341,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107237,51,98.0,32,0.996393,C,5.9,3.4,10.5,,MISSING,UNVERIFIED_OVERSIZE
113165,51,98.0,39,0.996445,C,7.7,8.4,19.7,40.0,COMPLETE,OVERSIZE
101126,50,69.0,38,0.996495,C,5.1,13.1,7.1,85.0,COMPLETE,STANDARD
107448,50,141.0,38,0.996546,C,4.0,11.2,5.7,60.0,COMPLETE,STANDARD
121814,50,90.0,40,0.996597,C,,,,,MISSING,UNVERIFIED_OVERSIZE
121874,50,540.0,29,0.996648,C,3.8,9.9,4.9,40.0,COMPLETE,STANDARD
101082,48,1020.0,16,0.996697,C,,,,,MISSING,UNVERIFIED_OVERSIZE
107393,48,131.0,6,0.996746,C,3.3,3.0,6.5,,MISSING,UNVERIFIED_OVERSIZE
111964,48,62000.0,6,0.996794,C,23.5,15.0,4.0,,MISSING,UNVERIFIED_OVERSIZE
125121,48,357.0,40,0.996843,C,,,,,MISSING,UNVERIFIED_OVERSIZE
110447,47,402.0,39,0.996891,C,13.5,5.0,5.5,,MISSING,UNVERIFIED_OVERSIZE
121568,47,388.0,32,0.996939,C,8.0,4.0,6.0,,MISSING,UNVERIFIED_OVERSIZE
125174,47,174.0,29,0.996987,C,,,,,MISSING,UNVERIFIED_OVERSIZE
131888,47,6000.0,13,0.997035,C,,,,,MISSING,UNVERIFIED_OVERSIZE
137575,47,60.0,37,0.997082,C,,,,,MISSING,UNVERIFIED_OVERSIZE
101019,46,52.0,35,0.997129,C,4.5,4.5,7.5,,MISSING,UNVERIFIED_OVERSIZE
101144,46,67.0,29,0.997176,C,8.3,2.0,10.1,,MISSING,UNVERIFIED_OVERSIZE
110503,46,82.0,36,0.997223,C,5.0,3.5,9.5,,MISSING,UNVERIFIED_OVERSIZE
107248,45,120.0,9,0.997269,C,5.0,3.1,9.6,,MISSING,UNVERIFIED_OVERSIZE
113179,45,66.0,39,0.997314,C,7.8,8.1,12.8,240.0,COMPLETE,STANDARD
