sku,handling_unit_id,from_rack,to_rack,from,to
101104,SHELF_021,G19_13,G14_13,Z14/A01/B-G19_13/L01/S04,Z10/A02/B-G14_13/L01/S02
101105,SHELF_175,G3_15,G7_7,Z04/A02/B-G3_15/L02/S02,Z06/A01/B-G7_7/L01/S03
101106,SHELF_028,G20_15,G20_13,Z14/A02/B-G20_15/L03/S03,Z14/A02/B-G20_13/L01/S02
101107,SHELF_149,G3_10,G5_9,Z01/A02/B-G3_10/L01/S04,Z01/A04/B-G5_9/L01/S02
101109,SHELF_257,G13_12,G36_12,Z10/A01/B-G13_12/L03/S02,Z20/A02/B-G36_12/L01/S03
101110,SHELF_154,G19_10,G16_5,Z14/A01/B-G19_10/L02/S03,Z13/A01/B-G16_5/L01/S03
101112,SHELF_231,G20_9,G27_5,Z14/A02/B-G20_9/L03/S03,Z17/A01/B-G27_5/L01/S02
101116,SHELF_050,G30_14,G22_12,Z18/A01/B-G30_14/L02/S01,Z15/A02/B-G22_12/L02/S01
101117,SHELF_125,G22_15,G33_15,Z15/A02/B-G22_15/L03/S04,Z18/A04/B-G33_15/L01/S02
101122,SHELF_097,G13_12,G16_8,Z10/A01/B-G13_12/L02/S02,Z13/A01/B-G16_8/L01/S02
101125,SHELF_092,G19_9,G2_14,Z14/A01/B-G19_9/L01/S02,Z04/A01/B-G2_14/L01/S04
101126,SHELF_210,G22_9,G30_8,Z15/A02/B-G22_9/L03/S02,Z19/A01/B-G30_8/L01/S04
101128,SHELF_048,G4_15,G7_14,Z04/A03/B-G4_15/L03/S01,Z06/A01/B-G7_14/L01/S01
101133,SHELF_198,G32_15,G21_4,Z18/A03/B-G32_15/L03/S03,Z15/A01/B-G21_4/L01/S03
101134,SHELF_051,G17_15,G24_13,Z13/A02/B-G17_15/L03/S02,Z16/A01/B-G24_13/L01/S04
101135,SHELF_002,G10_15,G14_15,Z09/A01/B-G10_15/L02/S03,Z10/A02/B-G14_15/L01/S04
101137,SHELF_223,G16_8,G17_2,Z13/A01/B-G16_8/L02/S04,Z13/A02/B-G17_2/L01/S04
101138,SHELF_315,G17_8,G0_3,Z13/A02/B-G17_8/L03/S04,Z03/A01/B-G0_3/L01/S03
101141,SHELF_249,G3_14,G22_2,Z04/A02/B-G3_14/L03/S03,Z15/A02/B-G22_2/L01/S03
101143,SHELF_151,G8_12,G10_6,Z06/A02/B-G8_12/L01/S03,Z09/A01/B-G10_6/L01/S03
101144,SHELF_207,G28_12,G8_5,Z17/A02/B-G28_12/L03/S03,Z06/A02/B-G8_5/L01/S02
101145,SHELF_245,G21_12,G13_1,Z15/A01/B-G21_12/L03/S01,Z12/A01/B-G13_1/L01/S03
101146,SHELF_188,G22_15,G25_6,Z15/A02/B-G22_15/L02/S03,Z16/A02/B-G25_6/L01/S02
101147,SHELF_075,G8_15,G5_13,Z06/A02/B-G8_15/L02/S04,Z04/A04/B-G5_13/L01/S03
101149,SHELF_095,G14_13,G13_8,Z10/A02/B-G14_13/L01/S03,Z10/A01/B-G13_8/L01/S01
101150,SHELF_040,G19_12,G24_14,Z14/A01/B-G19_12/L03/S03,Z16/A01/B-G24_14/L02/S03
101151,SHELF_169,G5_9,G4_9,Z01/A04/B-G5_9/L02/S02,Z01/A03/B-G4_9/L01/S04
101153,SHELF_208,G25_14,G25_5,Z16/A02/B-G25_14/L02/S03,Z16/A02/B-G25_5/L01/S03
101154,SHELF_015,G24_12,G22_15,Z16/A01/B-G24_12/L01/S01,Z15/A02/B-G22_15/L01/S01
101155,SHELF_017,G21_15,G11_14,Z15/A01/B-G21_15/L02/S02,Z09/A02/B-G11_14/L02/S02
101157,SHELF_202,G22_13,G10_4,Z15/A02/B-G22_13/L02/S02,Z09/A01/B-G10_4/L01/S02
101159,SHELF_037,G4_13,G17_12,Z04/A03/B-G4_13/L03/S02,Z13/A02/B-G17_12/L02/S01
101160,SHELF_183,G17_8,G24_6,Z13/A02/B-G17_8/L03/S01,Z16/A01/B-G24_6/L01/S04
101163,SHELF_145,G4_10,G4_10,Z01/A03/B-G4_10/L01/S03,Z01/A03/B-G4_10/L01/S04
101164,SHELF_119,G27_14,G3_12,Z17/A01/B-G27_14/L01/S04,Z04/A02/B-G3_12/L01/S04
101165,SHELF_121,G30_13,G27_10,Z18/A01/B-G30_13/L03/S04,Z17/A01/B-G27_10/L01/S04
101166,SHELF_108,G22_13,G0_15,Z15/A02/B-G22_13/L02/S03,Z03/A01/B-G0_15/L02/S01
101167,SHELF_071,G13_10,G4_14,Z10/A01/B-G13_10/L01/S01,Z04/A03/B-G4_14/L02/S01
101173,SHELF_183,G13_9,G24_6,Z10/A01/B-G13_9/L02/S04,Z16/A01/B-G24_6/L02/S04
101174,SHELF_102,G5_14,G3_13,Z04/A04/B-G5_14/L03/S04,Z04/A02/B-G3_13/L02/S01
101177,SHELF_065,G8_15,G3_15,Z06/A02/B-G8_15/L01/S01,Z04/A02/B-G3_15/L01/S02
101179,SHELF_125,G30_14,G33_15,Z18/A01/B-G30_14/L01/S02,Z18/A04/B-G33_15/L02/S01
101180,SHELF_140,G10_14,G20_6,Z09/A01/B-G10_14/L03/S04,Z14/A02/B-G20_6/L01/S02
101181,SHELF_022,G13_14,G16_13,Z10/A01/B-G13_14/L01/S01,Z13/A01/B-G16_13/L02/S04
101182,SHELF_112,G10_12,G10_8,Z09/A01/B-G10_12/L02/S04,Z09/A01/B-G10_8/L01/S02
101183,SHELF_088,G25_15,G31_15,Z16/A02/B-G25_15/L02/S03,Z18/A02/B-G31_15/L01/S03
101184,SHELF_065,G24_13,G3_15,Z16/A01/B-G24_13/L03/S03,Z04/A02/B-G3_15/L01/S04
