sku,max_item_length,max_item_width,max_item_height,max_item_weight,chilled,tablet,flammable
107419,0.043,0.043,0.065,0.02299,false,false,false
107423,0.049,0.035,0.085,0.02789,false,false,false
107428,0.035,0.112,0.057,0.04275,false,true,false
107429,0.047,0.067,0.05,0.03012,false,true,false
107435,0.051,0.066,0.135,0.06,false,false,false
107437,0.035,0.126,0.072,0.03,false,true,false
107439,0.042,0.126,0.025,0.025,true,false,false
107441,0.04,0.04,0.1,0.03061,false,true,false
107443,0.09,0.045,0.105,0.08136,false,false,true
107444,0.091,0.045,0.105,0.08227,false,false,false
107448,0.04,0.112,0.057,0.06,false,true,false
107449,0.041,0.119,0.031,0.045,false,true,false
107450,0.063,0.105,0.065,0.025,false,true,false
107451,0.093,0.045,0.105,0.08407,false,true,false
107452,0.055,0.05,0.135,0.07076,false,false,false
107455,0.047,0.067,0.05,0.03012,false,false,false
107456,0.047,0.067,0.05,0.03012,false,true,false
107457,0.086,0.115,0.036,0.055,false,true,false
107458,0.042,0.119,0.027,0.034,false,true,false
107459,0.12,0.025,0.028,0.01607,false,false,true
107573,0.074,0.074,0.145,0.275,false,true,false
107879,0.047,0.067,0.05,0.03012,false,true,false
109534,0.114,0.148,0.073,0.325,false,true,false
109843,0.042,0.042,0.11,0.03712,false,true,false
109969,0.043,0.043,0.105,0.02661,false,true,false
109989,0.06,0.089,0.075,0.145,false,true,false
110097,0.1,0.049,0.051,0.03425,false,true,false
110109,0.088,0.062,0.09,0.0673,false,true,false
110128,0.061,0.132,0.036,0.035,false,false,false
110130,0.185,0.14,0.04,0.18014,false,true,false
110131,0.053,0.104,0.028,0.02,false,false,false
110132,0.066,0.127,0.028,0.012,false,false,false
110133,0.105,0.022,0.05,0.01583,false,true,false
110134,0.125,0.022,0.065,0.0245,false,true,false
110135,0.038,0.025,0.105,0.01367,false,false,false
110136,0.056,0.134,0.025,0.01,false,false,false
110137,0.057,0.135,0.025,0.02,false,false,false
110138,0.135,0.02,0.055,0.02035,false,true,false
110139,0.057,0.135,0.035,0.02,false,false,false
110141,0.034,0.161,0.057,0.02,false,true,false
110142,0.04,0.163,0.077,0.023,false,true,false
110143,0.147,0.02,0.066,0.0266,false,false,false
110146,0.042,0.133,0.062,0.02,false,true,false
110147,0.038,0.041,0.08,0.05,false,true,false
110148,0.044,0.114,0.061,0.045,false,true,false
110149,0.105,0.023,0.05,0.01655,false,true,false
110150,0.151,0.197,0.056,0.37,false,true,false
110151,0.048,0.115,0.052,0.08,false,false,true
110152,0.12,0.05,0.045,0.03701,false,false,false
110153,0.042,0.126,0.05,0.02,true,false,true
110154,0.057,0.12,0.029,0.03,false,false,false
110155,0.059,0.125,0.023,0.02325,false,false,false
110156,0.058,0.099,0.035,0.05,false,true,false
110157,0.044,0.044,0.082,0.06,false,true,false
110158,0.057,0.134,0.055,0.07,false,true,false
110161,0.082,0.14,0.075,0.07,false,false,true
110162,0.087,0.145,0.042,0.05,false,false,false
110163,0.091,0.147,0.041,0.045,false,true,false
110164,0.085,0.146,0.041,0.055,false,true,false
110165,0.053,0.115,0.031,0.04,false,true,false
110166,0.09,0.035,0.145,0.0626,false,true,false
110168,0.071,0.094,0.06,0.05488,false,true,false
110169,0.049,0.147,0.075,0.015,false,false,false
110170,0.071,0.094,0.06,0.05488,true,false,false
110171,0.056,0.136,0.026,0.05,false,true,false
110172,0.107,0.189,0.12,0.435,false,true,false
110173,0.038,0.083,0.059,0.045,false,true,false
110174,0.048,0.091,0.026,0.045,false,true,false
110175,0.09,0.02,0.05,0.01234,false,true,false
110176,0.056,0.136,0.024,0.015,false,false,false
110177,0.137,0.02,0.055,0.02066,false,false,false
110178,0.086,0.113,0.043,0.09,false,true,false
110179,0.085,0.085,0.02,0.01,false,false,false
110180,0.059,0.005,0.072,0.025,false,true,false
110181,0.085,0.059,0.05,0.03437,false,true,false
110182,0.081,0.02,0.042,0.01,false,false,false
110185,0.04,0.116,0.065,0.04134,false,true,false
110186,0.042,0.154,0.075,0.025,false,false,false
110187,0.047,0.149,0.075,0.05,false,false,false
110189,0.056,0.131,0.069,0.065,false,true,false
110190,0.15,0.075,0.095,0.18584,false,true,false
110191,0.042,0.085,0.055,0.015,false,true,false
110192,0.107,0.05,0.052,0.03813,false,true,false
110193,0.06,0.098,0.049,0.07,false,true,false
110194,0.12,0.025,0.06,0.02467,false,true,false
110195,0.23,0.152,0.035,0.16771,true,false,false
110196,0.185,0.14,0.04,0.142,false,true,false
110197,0.125,0.025,0.059,0.02527,false,true,false
110198,0.057,0.123,0.037,0.015,true,true,false
110199,0.123,0.019,0.058,0.01858,false,false,false
110200,0.056,0.106,0.063,0.11,false,false,false
110201,0.108,0.02,0.057,0.01688,true,true,false
110204,0.045,0.117,0.052,0.05,false,true,false
110205,0.15,0.01,0.045,0.01,false,false,true
110208,0.045,0.045,0.075,0.02082,false,true,false
110209,0.045,0.045,0.075,0.02082,false,true,false
110210,0.042,0.083,0.05,0.045,true,false,false
110211,0.061,0.108,0.035,0.025,false,false,false
110212,0.048,0.121,0.085,0.09,false,false,false
110214,0.097,0.02,0.075,0.01994,false,false,false
110215,0.076,0.095,0.024,0.03,false,false,false
110216,0.043,0.086,0.074,0.03,false,true,false
110217,0.028,0.028,0.05,0.015,false,true,false
110218,0.044,0.103,0.05,0.045,true,false,true
110219,0.044,0.051,0.078,0.03,false,false,true
110220,0.06,0.005,0.075,0.025,true,true,false
110221,0.048,0.122,0.074,0.06,false,false,false
110222,0.035,0.161,0.07,0.015,true,false,false
110223,0.148,0.045,0.067,0.06116,false,false,false
110224,0.146,0.02,0.066,0.02641,false,true,false
110225,0.146,0.02,0.065,0.02601,false,true,false
110226,0.042,0.138,0.054,0.05,false,true,false
110227,0.13,0.025,0.055,0.0245,false,true,false
110228,0.065,0.108,0.055,0.055,true,false,false
110229,0.11,0.025,0.06,0.02262,false,false,false
110230,0.048,0.103,0.074,0.105,false,false,false
110231,0.075,0.146,0.026,0.254,false,false,false
110232,0.076,0.147,0.026,0.03,false,true,false
110233,0.115,0.022,0.055,0.01907,false,true,false
